2024-10-13 14:15:13,949 INFO    MainThread:34404 [wandb_setup.py:_flush():79] Current SDK version is 0.18.3
2024-10-13 14:15:13,950 INFO    MainThread:34404 [wandb_setup.py:_flush():79] Configure stats pid to 34404
2024-10-13 14:15:13,950 INFO    MainThread:34404 [wandb_setup.py:_flush():79] Loading settings from /home/samkit/.config/wandb/settings
2024-10-13 14:15:13,950 INFO    MainThread:34404 [wandb_setup.py:_flush():79] Loading settings from /home/samkit/Documents/smai/smai-m24-assignments-samkit-2512j/assignments/3/wandb/settings
2024-10-13 14:15:13,950 INFO    MainThread:34404 [wandb_setup.py:_flush():79] Loading settings from environment variables: {}
2024-10-13 14:15:13,950 INFO    MainThread:34404 [wandb_setup.py:_flush():79] Applying setup settings: {'mode': None, '_disable_service': None}
2024-10-13 14:15:13,950 INFO    MainThread:34404 [wandb_setup.py:_flush():79] Inferring run settings from compute environment: {'program_relpath': 'assignments/3/check_BostonHousing.py', 'program_abspath': '/home/samkit/Documents/smai/smai-m24-assignments-samkit-2512j/assignments/3/check_BostonHousing.py', 'program': 'check_BostonHousing.py'}
2024-10-13 14:15:13,950 INFO    MainThread:34404 [wandb_setup.py:_flush():79] Applying login settings: {}
2024-10-13 14:15:13,950 INFO    MainThread:34404 [wandb_init.py:_log_setup():532] Logging user logs to /home/samkit/Documents/smai/smai-m24-assignments-samkit-2512j/assignments/3/wandb/run-20241013_141513-8o9vr8nz/logs/debug.log
2024-10-13 14:15:13,950 INFO    MainThread:34404 [wandb_init.py:_log_setup():533] Logging internal logs to /home/samkit/Documents/smai/smai-m24-assignments-samkit-2512j/assignments/3/wandb/run-20241013_141513-8o9vr8nz/logs/debug-internal.log
2024-10-13 14:15:13,950 INFO    MainThread:34404 [wandb_init.py:init():617] calling init triggers
2024-10-13 14:15:13,950 INFO    MainThread:34404 [wandb_init.py:init():624] wandb.init called with sweep_config: {}
config: {'hidden_layers': [16, 32, 8, 4], 'learning_rate': 0.01, 'activation': 'relu', 'optimizer': 'mini-batch', 'batch_size': 32, 'epochs': 1000, 'model': 'regressor', 'loss_func': 'mse'}
2024-10-13 14:15:13,950 INFO    MainThread:34404 [wandb_init.py:init():667] starting backend
2024-10-13 14:15:13,950 INFO    MainThread:34404 [wandb_init.py:init():671] sending inform_init request
2024-10-13 14:15:13,952 INFO    MainThread:34404 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-10-13 14:15:13,952 INFO    MainThread:34404 [wandb_init.py:init():684] backend started and connected
2024-10-13 14:15:13,954 INFO    MainThread:34404 [wandb_init.py:init():779] updated telemetry
2024-10-13 14:15:13,963 INFO    MainThread:34404 [wandb_init.py:init():812] communicating run to backend with 90.0 second timeout
2024-10-13 14:15:14,350 INFO    MainThread:34404 [wandb_init.py:init():863] starting run threads in backend
2024-10-13 14:15:14,412 INFO    MainThread:34404 [wandb_run.py:_console_start():2465] atexit reg
2024-10-13 14:15:14,412 INFO    MainThread:34404 [wandb_run.py:_redirect():2313] redirect: wrap_raw
2024-10-13 14:15:14,412 INFO    MainThread:34404 [wandb_run.py:_redirect():2378] Wrapping output streams.
2024-10-13 14:15:14,412 INFO    MainThread:34404 [wandb_run.py:_redirect():2403] Redirects installed.
2024-10-13 14:15:14,413 INFO    MainThread:34404 [wandb_init.py:init():907] run started, returning control to user process
2024-10-13 14:15:18,235 INFO    MainThread:34404 [wandb_run.py:_finish():2164] finishing run samkit_25j_/MLP_regressor/8o9vr8nz
2024-10-13 14:15:18,236 INFO    MainThread:34404 [wandb_run.py:_atexit_cleanup():2428] got exitcode: 0
2024-10-13 14:15:18,236 INFO    MainThread:34404 [wandb_run.py:_restore():2410] restore
2024-10-13 14:15:18,236 INFO    MainThread:34404 [wandb_run.py:_restore():2416] restore done
2024-10-13 14:15:20,863 INFO    MainThread:34404 [wandb_run.py:_footer_history_summary_info():4049] rendering history
2024-10-13 14:15:20,864 INFO    MainThread:34404 [wandb_run.py:_footer_history_summary_info():4081] rendering summary
2024-10-13 14:15:20,867 INFO    MainThread:34404 [wandb_run.py:_footer_sync_info():4008] logging synced files
